City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Bambanglipuro,ID,-7.95,110.2833,79.02,76,100,3.11,overcast clouds
302,Casablanca,MA,33.5928,-7.6192,51.82,72,53,3.56,broken clouds
303,Beira,MZ,-19.8436,34.8389,73.15,72,14,6.49,few clouds
304,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,5.75,scattered clouds
305,Kaeo,NZ,-35.1,173.7833,73.33,64,80,11.25,broken clouds
306,Visaginas,LT,55.6,26.4167,12.83,97,82,3.36,broken clouds
307,Arkhipovka,RU,56.6629,41.2543,8.33,97,52,2.3,broken clouds
308,La Sarre,CA,48.8002,-79.1996,26.42,75,100,16.51,light snow
309,Iracoubo,GF,5.4802,-53.2011,76.08,89,47,9.66,scattered clouds
310,Yining,CN,29.0361,114.5636,29.71,93,100,3.44,light snow
311,Ahuimanu,US,21.4447,-157.8378,85.71,66,40,13.8,scattered clouds
312,Marystown,CA,47.1666,-55.1483,29.32,63,7,5.28,clear sky
313,Port Angeles,US,48.1181,-123.4307,41.7,76,75,8.05,broken clouds
314,Nichlaul,IN,27.3167,83.7333,57.85,71,0,2.53,clear sky
315,Ugoofaaru,MV,5.6667,73.0,80.76,68,35,1.92,scattered clouds
316,Tukrah,LY,32.5341,20.5791,62.33,67,21,16.73,light rain
317,Itarema,BR,-2.9248,-39.9167,79.52,73,80,12.77,heavy intensity rain
318,Aripuana,BR,-9.1667,-60.6333,78.04,73,52,3.13,broken clouds
319,Hammerfest,NO,70.6634,23.6821,36.05,80,75,3.44,broken clouds
320,Kumta,IN,14.4167,74.4,71.69,60,16,8.19,few clouds
321,Mao,ES,39.8885,4.2658,48.76,81,0,8.05,clear sky
322,Nocera Superiore,IT,40.7421,14.6729,53.1,84,86,5.01,overcast clouds
323,Batemans Bay,AU,-35.7167,150.1833,65.1,67,74,4.36,broken clouds
324,Hamilton,US,39.1834,-84.5333,36.09,57,0,13.8,clear sky
325,Pacifica,US,37.6138,-122.4869,58.75,65,75,8.99,broken clouds
326,Kikwit,CD,-5.041,18.8162,67.33,99,95,1.61,overcast clouds
327,Pisco,PE,-13.7,-76.2167,69.85,73,0,19.57,clear sky
328,Ternate,ID,0.8,127.4,81.86,78,98,3.42,overcast clouds
329,Hirara,JP,24.8,125.2833,69.66,94,75,23.02,broken clouds
330,Havoysund,NO,70.9963,24.6622,35.83,83,56,6.91,broken clouds
331,Morrisburg,CA,44.9001,-75.1826,41.05,89,99,16.89,overcast clouds
332,Padang,ID,-0.9492,100.3543,75.25,96,100,2.91,overcast clouds
333,Castro,BR,-24.7911,-50.0119,61.07,97,92,4.9,overcast clouds
334,Daru,PG,-9.0763,143.2092,82.13,74,100,8.43,overcast clouds
335,Montego Bay,JM,18.4712,-77.9188,80.4,74,20,9.22,few clouds
336,Namibe,AO,-15.1961,12.1522,69.44,76,86,7.63,overcast clouds
337,Isangel,VU,-19.55,169.2667,86.11,84,40,4.61,scattered clouds
338,Verkhnyaya Toyma,RU,62.2349,44.9985,18.45,85,100,2.95,overcast clouds
339,Sakakah,SA,29.9697,40.2064,53.17,69,0,2.3,clear sky
340,Kuryk,KZ,43.2,51.65,32.22,36,100,10.22,overcast clouds
341,Waiouru,NZ,-39.4833,175.6667,52.38,79,97,6.35,overcast clouds
342,Grindavik,IS,63.8424,-22.4338,46.35,87,75,24.16,broken clouds
